id,type,date,date_unixtime,actor,actor_id,action,title,text,text_entities,members,new_icon_emoji_id,from,from_id,file,file_name,file_size,thumbnail,thumbnail_file_size,media_type,sticker_emoji,mime_type,width,height,reply_to_message_id,edited,edited_unixtime,reactions,photo,photo_file_size,forwarded_from,forwarded_from_id,duration_seconds
1006,message,[전화번호_마스킹]T18:00:05,[전화번호_마스킹],,,,,오늘은 죽어도 혼자 안자야지,"[{""type"": ""plain"", ""text"": ""오늘은 죽어도 혼자 안자야지""}]",,,Kim Seokhyun,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
1007,message,[전화번호_마스킹]T18:01:08,[전화번호_마스킹],,,,,델꼬 살것도 아닌데 굳이 고민을 마인드 위주로 노세요,"[{""type"": ""plain"", ""text"": ""델꼬 살것도 아닌데 굳이 고민을 마인드 위주로 노세요""}]",,,베트남 이장,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
1008,message,[전화번호_마스킹]T18:03:50,[전화번호_마스킹],,,,,이쁘고 마인드 좋고 몸매 좋은 애들은 돈으로 후리면 되요,"[{""type"": ""plain"", ""text"": ""이쁘고 마인드 좋고 몸매 좋은 애들은 돈으로 후리면 되요""}]",,,베트남 이장,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
1009,message,[전화번호_마스킹]T18:04:13,[전화번호_마스킹],,,,,,[],,,베트남 이장,user[전화번호_마스킹],(File not included. Change data exporting settings to download.),sticker.webp,26442,(File not included. Change data exporting settings to download.),14680,sticker,💬,image/webp,509,512,,,,,,,,,
1010,message,[전화번호_마스킹]T18:18:00,[전화번호_마스킹],,,,,다낭 가서 그리 할려고  ㅋ,"[{""type"": ""plain"", ""text"": ""다낭 가서 그리 할려고  ㅋ""}]",,,Yes,user[전화번호_마스킹],,,,,,,,,,,1008,,,,,,,,
1011,message,[전화번호_마스킹]T18:18:40,[전화번호_마스킹],,,,,돈이 조낸 많은가봅니다. 나도 마인드파인데,"[{""type"": ""plain"", ""text"": ""돈이 조낸 많은가봅니다. 나도 마인드파인데""}]",,,Yes,user[전화번호_마스킹],,,,,,,,,,,1007,,,,,,,,
1012,message,[전화번호_마스킹]T18:19:03,[전화번호_마스킹],,,,,현실이죠모,"[{""type"": ""plain"", ""text"": ""현실이죠모""}]",,,베트남 이장,user[전화번호_마스킹],,,,,,,,,,,1011,,,,,,,,
1013,message,[전화번호_마스킹]T18:19:59,[전화번호_마스킹],,,,,그냥 나한테 잘 해주는 애가 제일 좋더라고요,"[{""type"": ""plain"", ""text"": ""그냥 나한테 잘 해주는 애가 제일 좋더라고요""}]",,,Yes,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
1014,message,[전화번호_마스킹]T18:20:46,[전화번호_마스킹],,,,,백날 예뻐봐야 한시간 이상 못 넘길테고,"[{""type"": ""plain"", ""text"": ""백날 예뻐봐야 한시간 이상 못 넘길테고""}]",,,Yes,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
1015,message,[전화번호_마스킹]T18:21:38,[전화번호_마스킹],,,,,근데 궁금한게 이런데까지 와서 조낸 미모의 사람 돈으로 사오면 뭔가 정복감 같은데 느껴지나,"[{""type"": ""plain"", ""text"": ""근데 궁금한게 이런데까지 와서 조낸 미모의 사람 돈으로 사오면 뭔가 정복감 같은데 느껴지나""}]",,,Yes,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
1016,message,[전화번호_마스킹]T18:21:42,[전화번호_마스킹],,,,,얼굴 이쁜애들은 얼굴값 하니까,"[{""type"": ""plain"", ""text"": ""얼굴 이쁜애들은 얼굴값 하니까""}]",,,베트남 이장,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
1017,message,[전화번호_마스킹]T18:21:49,[전화번호_마스킹],,,,,있긴하죠,"[{""type"": ""plain"", ""text"": ""있긴하죠""}]",,,베트남 이장,user[전화번호_마스킹],,,,,,,,,,,1015,,,,,,,,
1018,service,[전화번호_마스킹]T18:58:57,[전화번호_마스킹],Doray Man,user[전화번호_마스킹],invite_members,,,[],"[""Doray Man""]",,,,,,,,,,,,,,,,,,,,,,
1020,message,[전화번호_마스킹]T18:59:18,[전화번호_마스킹],,,,,어솨오세요,"[{""type"": ""plain"", ""text"": ""어솨오세요""}]",,,베트남 이장,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
1021,message,[전화번호_마스킹]T19:02:48,[전화번호_마스킹],,,,,체리 뭔가요?,"[{""type"": ""plain"", ""text"": ""체리 뭔가요?""}]",,,Doray Man,user[전화번호_마스킹],,,,,,,,,,,1003,,,,,,,,
1022,message,[전화번호_마스킹]T19:05:37,[전화번호_마스킹],,,,,불건마사,"[{""type"": ""plain"", ""text"": ""불건마사""}]",,,베트남 이장,user[전화번호_마스킹],,,,,,,,,,,1021,,,,,,,,
1023,message,[전화번호_마스킹]T19:05:53,[전화번호_마스킹],,,,,아....감사요 ㅎ,"[{""type"": ""plain"", ""text"": ""아....감사요 ㅎ""}]",,,Doray Man,user[전화번호_마스킹],,,,,,,,,,,1022,,,,,,,,
1024,message,[전화번호_마스킹]T19:06:54,[전화번호_마스킹],,,,,,[],,,베트남 이장,user[전화번호_마스킹],(File not included. Change data exporting settings to download.),sticker.webp,57642,(File not included. Change data exporting settings to download.),31692,sticker,💬,image/webp,485,512,,[전화번호_마스킹]T09:56:57,[전화번호_마스킹],,,,,,
1025,message,[전화번호_마스킹]T20:09:42,[전화번호_마스킹],,,,,진짜 데리고 살거아닌이상 이쁜건.. ㅋㅋㅋ,"[{""type"": ""plain"", ""text"": ""진짜 데리고 살거아닌이상 이쁜건.. ㅋㅋㅋ""}]",,,실버스트림,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
