id,type,date,date_unixtime,actor,actor_id,action,title,text,text_entities,members,new_icon_emoji_id,from,from_id,file,file_name,file_size,thumbnail,thumbnail_file_size,media_type,sticker_emoji,mime_type,width,height,reply_to_message_id,edited,edited_unixtime,reactions,photo,photo_file_size,forwarded_from,forwarded_from_id,duration_seconds
1564,message,2024-11-26T23:34:06,1732631646,,,,,,[],,,덕빈 배,user6808642589,(File not included. Change data exporting settings to download.),AnimatedSticker.tgs,28242,(File not included. Change data exporting settings to download.),7182,sticker,😂,application/x-tgsticker,512,512,,,,,,,,,
1566,service,2024-11-27T00:13:16,1732633996,james,user6528936360,invite_members,,,[],"[""james""]",,,,,,,,,,,,,,,,,,,,,,
1568,message,2024-11-27T01:28:36,1732638516,,,,,안녕하세요 ㅎㅎ,"[{""type"": ""plain"", ""text"": ""안녕하세요 ㅎㅎ""}]",,,Yes,user1434081860,,,,,,,,,,,,,,,,,,,
1569,message,2024-11-27T01:29:46,1732638586,,,,,갠적으로는 그냥 돈 주면 다 해줫던 기억밖에 없어서,"[{""type"": ""plain"", ""text"": ""갠적으로는 그냥 돈 주면 다 해줫던 기억밖에 없어서""}]",,,베트남 이장,user8177527023,,,,,,,,,,,1562,,,,,,,,
1570,message,2024-11-27T01:29:56,1732638596,,,,,,[],,,베트남 이장,user8177527023,(File not included. Change data exporting settings to download.),AnimatedSticker.tgs,15299,(File not included. Change data exporting settings to download.),3974,sticker,🍑,application/x-tgsticker,512,512,,,,,,,,,
1571,message,2024-11-27T01:31:39,1732638699,,,,,화요일에 물빼는게 국률인데,"[{""type"": ""plain"", ""text"": ""화요일에 물빼는게 국률인데""}]",,,Bruce Don Gral Lee,user563124383,,,,,,,,,,,,,,,,,,,
1572,service,2024-11-27T01:36:19,1732638979,New Man,user5942935894,invite_members,,,[],"[""New Man""]",,,,,,,,,,,,,,,,,,,,,,
1574,service,2024-11-27T06:38:13,1732657093,Piglett_111,user1766748097,invite_members,,,[],"[""Piglett_111""]",,,,,,,,,,,,,,,,,,,,,,
1576,service,2024-11-27T09:40:38,1732668038,수,user6937706145,invite_members,,,[],"[""수""]",,,,,,,,,,,,,,,,,,,,,,
1578,message,2024-11-27T10:17:15,1732670235,,,,,,[],,,Yes,user1434081860,(File not included. Change data exporting settings to download.),AnimatedSticker.tgs,41763,(File not included. Change data exporting settings to download.),3084,sticker,🖐,application/x-tgsticker,512,512,,,,,,,,,
1579,service,2024-11-27T13:57:09,1732683429,jinhwan kim,user5768237171,invite_members,,,[],"[""jinhwan kim""]",,,,,,,,,,,,,,,,,,,,,,
1581,service,2024-11-27T14:39:52,1732685992,Bat,user6897190152,invite_members,,,[],"[""Bat""]",,,,,,,,,,,,,,,,,,,,,,
1583,message,2024-11-27T14:58:30,1732687110,,,,,,[],,,Lucas,user5587910631,(File not included. Change data exporting settings to download.),sticker.webp,37500,(File not included. Change data exporting settings to download.),20130,sticker,💬,image/webp,512,512,,,,,,,,,
1584,message,2024-11-27T15:05:00,1732687500,,,,,,[],,,실버스트림,user868819444,,,,,,,,,960,1280,,,,,(File not included. Change data exporting settings to download.),117737,,,
1585,message,2024-11-27T15:05:00,1732687500,,,,,,[],,,실버스트림,user868819444,,,,,,,,,960,1280,,,,,(File not included. Change data exporting settings to download.),75423,,,
